inter_seq	cat	target	pred_path
[305, 172, 54, 314, 1, 350, 352]	3	300	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
[305, 172, 54, 314, 1, 350, 352]	3	294	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
[305, 172, 54, 314, 1, 350, 352]	3	295	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
[305, 172, 54, 314, 1, 350, 352]	3	35	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
[305, 172, 54, 314, 1, 350, 352]	3	297	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
[305, 172, 54, 314, 1, 350, 352]	3	316	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
[305, 172, 54, 314, 1, 350, 352]	3	346	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
[305, 172, 54, 314, 1, 350, 352]	3	218	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
[305, 172, 54, 314, 1, 350, 352]	3	223	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
[305, 172, 54, 314, 1, 350, 352]	3	306	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
[305, 172, 54, 314, 1, 350, 352]	3	173	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173]
[305, 172, 54, 314, 1, 350, 352]	3	331	[301, 302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306, 173, 331]
[305, 172, 54, 314, 1, 350, 352, 301]	3	302	[302]
[305, 172, 54, 314, 1, 350, 352, 301]	3	310	[302, 310]
[305, 172, 54, 314, 1, 350, 352, 301]	3	312	[302, 310, 312]
[305, 172, 54, 314, 1, 350, 352, 301]	3	337	[302, 310, 312, 337]
[305, 172, 54, 314, 1, 350, 352, 301]	3	319	[302, 310, 312, 337, 319]
[305, 172, 54, 314, 1, 350, 352, 301]	3	311	[302, 310, 312, 337, 319, 311]
[305, 172, 54, 314, 1, 350, 352, 301]	3	336	[302, 310, 312, 337, 319, 311, 336]
[305, 172, 54, 314, 1, 350, 352, 301]	3	210	[302, 310, 312, 337, 319, 311, 336, 210]
[305, 172, 54, 314, 1, 350, 352, 301]	3	341	[302, 310, 312, 337, 319, 311, 336, 210, 341]
[305, 172, 54, 314, 1, 350, 352, 301]	3	343	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
[305, 172, 54, 314, 1, 350, 352, 301]	3	321	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
