stuno	oper	courseid	logid
1069800113030120	62	5	1
1069800113030120	63	182	2
1069800113030120	63	23	3
1069800113030120	63	5	5
1069800113030120	64	182	1
1069800113030120	64	23	2
1069800113030120	64	5	3
1069800113030120	66	23	2
1069800113030120	66	182	2
1069800113030120	66	5	4
1069800113030120	67	23	2
1069800113030120	67	182	2
1069800113030120	67	5	4
1069800113030120	68	5	2
1069800113030120	68	23	3
1069800113030120	68	182	3
1069800113030120	69	182	3
1069800113030120	69	23	4
1069800113030120	69	5	6
1069800113030120	70	23	1
1069800113030120	70	182	1
1069800113030120	70	5	3
1069800113030120	71	5	1
1069800113030120	71	23	1
1069800113030120	71	182	2
1069800113030127	75	23	1
1069800113030127	76	23	1
1069800113030167	4	5	1
1069800113030167	63	5	3
1069800113030167	63	23	4
1069800113030167	63	182	4
1069800113030167	66	182	1
1069800113030167	66	5	2
1069800113030167	66	23	2
1069800113030167	67	23	4
1069800113030167	67	182	4
1069800113030167	67	5	5
1069800113030167	68	5	1
1069800113030167	68	23	1
1069800113030167	68	182	1
1069800113030167	69	5	1
1069800113030167	69	23	1
1069800113030167	69	182	1
1069800113030167	70	5	1
1069800113030167	70	23	1
1069800113030167	70	182	1
1069800113030167	71	5	1
1069800113030167	71	23	1
1069800113030167	71	182	1
1069800113030167	75	5	5
1069800113030167	76	5	3
1069800113030183	4	182	2
1069800113030183	4	5	19
1069800113030183	55	5	2
1069800113030183	60	5	1
1069800113030183	63	23	1
1069800113030183	63	182	4
1069800113030183	63	5	22
1069800113030183	64	5	2
1069800113030183	66	5	3
1069800113030183	67	23	1
1069800113030183	67	182	1
1069800113030183	67	5	8
1069800113030183	68	23	1
1069800113030183	68	182	1
1069800113030183	68	5	3
1069800113030183	69	23	1
1069800113030183	69	182	1
1069800113030183	69	5	3
1069800113030183	70	5	1
1069800113030183	70	23	1
1069800113030183	70	182	2
1069800113030183	71	5	1
1069800113030183	71	23	1
1069800113030183	71	182	1
1069800113030183	75	182	16
1069800113030183	75	5	40
1069800113030183	76	182	15
1069800113030183	76	5	34
1069800113030194	4	5	8
1069800113030194	63	182	2
1069800113030194	63	23	3
1069800113030194	63	5	13
1069800113030194	64	5	1
1069800113030194	66	5	1
1069800113030194	67	23	2
1069800113030194	67	182	2
1069800113030194	67	5	9
1069800113030194	68	23	3
1069800113030194	68	182	5
1069800113030194	68	5	12
1069800113030194	69	182	2
1069800113030194	69	23	3
1069800113030194	69	5	4
1069800113030194	70	5	1
1069800113030194	70	23	1
1069800113030194	70	182	1
1069800113030194	71	5	1
1069800113030194	71	23	1
1069800113030194	71	182	1
1069800113030194	76	5	1
1069800113030200	63	23	2
1069800113030200	63	5	3
1069800113030200	63	182	3
1069800113030200	67	23	2
1069800113030200	67	182	2
1069800113030200	67	5	3
